Country;ISO3_code;Continent
Aruba;ABW;Central America/Caribbean
Afghanistan;AFG;Asia
Angola;AGO;Africa
Anguilla;AIA;North America
Aland Islands;ALA;Europe
Albania;ALB;Europe
Andorra;AND;Europe
UAE;ARE;Asia
Argentina;ARG;South America
Armenia;ARM;Europe
American Samoa;ASM;Oceania
Antarctica;ATA;Antarctica
Antigua and Barbuda;ATG;Central America/Caribbean
Australia;AUS;Oceania
Austria;AUT;Europe
Azerbaijan;AZE;Asia
Burundi;BDI;Africa
Belgium;BEL;Europe
Benin;BEN;Africa
Caribbean Netherlands;BES;Central America/Caribbean
Burkina Faso;BFA;Africa
Bangladesh;BGD;Asia
Bulgaria;BGR;Europe
Bahrain;BHR;Asia
Bahamas;BHS;Central America/Caribbean
Bosnia and Herzegovina;BIH;Europe
St. Barth;BLM;Central America/Caribbean
Belarus;BLR;Europe
Belize;BLZ;Central America/Caribbean
Bermuda;BMU;South America
Bolivia;BOL;South America
Brazil;BRA;South America
Barbados;BRB;Central America/Caribbean
Brunei;BRN;Asia
Bhutan;BTN;Asia
Botswana;BWA;Africa
CAR;CAF;Africa
Canada;CAN;North America
Cocos (Keeling) Islands;CCK;Asia
Switzerland;CHE;Europe
Chile;CHL;South America
China;CHN;Asia
Ivory Coast;CIV;Africa
Cameroon;CMR;Africa
DRC;COD;Africa
Congo;COG;Africa
Cook Islands;COK;Oceania
Colombia;COL;South America
Comoros;COM;Africa
Cabo Verde;CPV;Africa
Costa Rica;CRI;Central America/Caribbean
Cuba;CUB;North America
Curaçao;CUW;South America
Christmas Island;CXR;Asia
Cayman Islands;CYM;Central America/Caribbean
Cyprus;CYP;Asia
Czechia;CZE;Europe
Germany;DEU;Europe
Djibouti;DJI;Africa
Dominica;DMA;Central America/Caribbean
Denmark;DNK;Europe
Dominican Republic;DOM;Central America/Caribbean
Algeria;DZA;Africa
Ecuador;ECU;South America
Egypt;EGY;Africa
Eritrea;ERI;Africa
Western Sahara;ESH;Africa
Spain;ESP;Europe
Estonia;EST;Europe
Ethiopia;ETH;Africa
Finland;FIN;Europe
Fiji;FJI;Oceania
Falkland Islands;FLK;South America
France;FRA;Europe
Faroe Islands;FRO;Europe
Micronesia (Federated States of);FSM;Oceania
Gabon;GAB;Africa
UK;GBR;Europe
Georgia;GEO;Europe
Ghana;GHA;Africa
Gibraltar;GIB;Europe
Guinea;GIN;Africa
Guadeloupe;GLP;Central America/Caribbean
Gambia;GMB;Africa
Guinea-Bissau;GNB;Africa
Equatorial Guinea;GNQ;Africa
Greece;GRC;Europe
Grenada;GRD;Central America/Caribbean
Greenland;GRL;North America
Guatemala;GTM;Central America/Caribbean
French Guiana;GUF;South America
Guam;GUM;Oceania
Guyana;GUY;South America
Hong Kong;HKG;Asia
Honduras;HND;Central America/Caribbean
Croatia;HRV;Europe
Haiti;HTI;Central America/Caribbean
Hungary;HUN;Europe
Indonesia;IDN;Asia
Isle of Man;IMN;Europe
India;IND;Asia
Ireland;IRL;Europe
Iran;IRN;Asia
Iraq;IRQ;Asia
Iceland;ISL;Europe
Israel;ISR;Asia
Italy;ITA;Europe
Jamaica;JAM;Central America/Caribbean
Jersey;JEY;Europe
Jordan;JOR;Asia
Japan;JPN;Asia
Kazakhstan;KAZ;Asia
Kenya;KEN;Africa
Kyrgyzstan;KGZ;Asia
Cambodia;KHM;Africa
Kiribati;KIR;Oceania
Saint Kitts and Nevis;KNA;Central America/Caribbean
S. Korea;KOR;Asia
Kuwait;KWT;Asia
Laos;LAO;Asia
Lebanon;LBN;Asia
Liberia;LBR;Africa
Libya;LBY;Africa
Saint Lucia;LCA;Central America/Caribbean
Liechtenstein;LIE;Europe
Sri Lanka;LKA;Asia
Lesotho;LSO;Africa
Lithuania;LTU;Europe
Luxembourg;LUX;Europe
Latvia;LVA;Europe
Macao;MAC;Asia
Saint Martin;MAF;Central America/Caribbean
Morocco;MAR;Africa
Monaco;MCO;Europe
Moldova;MDA;Europe
Madagascar;MDG;Africa
Maldives;MDV;Asia
Mexico;MEX;North America
Marshall Islands;MHL;Oceania
North Macedonia;MKD;Europe
Mali;MLI;Africa
Malta;MLT;Europe
Myanmar;MMR;Asia
Montenegro;MNE;Europe
Mongolia;MNG;Asia
Northern Mariana Islands;MNP;Oceania
Mozambique;MOZ;Africa
Mauritania;MRT;Africa
Montserrat;MSR;Central America/Caribbean
Martinique;MTQ;Central America/Caribbean
Mauritius;MUS;Africa
Malawi;MWI;Africa
Malaysia;MYS;Asia
Mayotte;MYT;Africa
Namibia;NAM;Africa
